symbol,company,insider,insider_position,trade_type,trade_shares,trade_price,trade_value,trade_date,now
CALX,"Calix, Inc",Listwin Donald J,,Buy,22955.0,19.98,458617.0,2020-08-24 00:00:00,2020-08-28 00:33:40.368035
CALX,"Calix, Inc",Listwin Donald J,,Buy,5109.0,19.82,101265.0,2020-08-25 00:00:00,2020-08-28 00:33:40.370188
ADMQ,"Adm Endeavors, Inc.",Johnson Marc  ,CEO,Buy,9305.0,0.12,1097.0,2020-08-25 00:00:00,2020-08-28 00:33:40.370258
ADMQ,"Adm Endeavors, Inc.",Johnson Marc  ,CEO,Buy,15370.0,0.12,1921.0,2020-08-26 00:00:00,2020-08-28 00:33:40.370315
ADMQ,"Adm Endeavors, Inc.",Johnson Marc  ,CEO,Buy,24219.0,0.12,2978.0,2020-08-24 00:00:00,2020-08-28 00:33:40.370369
ADMQ,"Adm Endeavors, Inc.",Khanfur Motasem,,Buy,38870.0,0.13,5014.0,2020-08-26 00:00:00,2020-08-28 00:33:40.370422
AE,"Adams Resources & Energy, Inc.",Niemann John O. Jr.,,Buy,8.0,22.03,176.0,2020-08-25 00:00:00,2020-08-28 00:33:40.370486
ATO,Atmos Energy Corp,Yoho Frank H  ,Director,Buy,1500.0,99.48,149220.0,2020-08-26 00:00:00,2020-08-28 00:33:40.370549
BKTI,Bk Technologies Corp,Moglia Joseph H,,Buy,2003.0,3.0,6002.0,2020-08-26 00:00:00,2020-08-28 00:33:40.370612
BKTI,Bk Technologies Corp,Moglia Joseph H,,Buy,1235.0,3.08,3802.0,2020-08-24 00:00:00,2020-08-28 00:33:40.370665
BKTI,Bk Technologies Corp,Moglia Joseph H,,Buy,900.0,3.01,2712.0,2020-08-25 00:00:00,2020-08-28 00:33:40.370714
BLNK,Blink Charging Co.,Levine Jack,,Buy,10000.0,8.0,80000.0,2020-08-25 00:00:00,2020-08-28 00:33:40.370775
BSQR,Bsquare Corp /wa,Wheaton Christopher  ,Chief Financial Officer,Buy,6667.0,1.44,9620.0,2020-08-26 00:00:00,2020-08-28 00:33:40.370869
BTN,"Ballantyne Strong, Inc.",Moglia Joseph H,,Buy,537.0,1.71,916.0,2020-08-26 00:00:00,2020-08-28 00:33:40.370928
BTN,"Ballantyne Strong, Inc.",Moglia Joseph H,,Buy,1085.0,1.71,1852.0,2020-08-25 00:00:00,2020-08-28 00:33:40.370975
BTN,"Ballantyne Strong, Inc.",Moglia Joseph H,,Buy,7247.0,1.79,12993.0,2020-08-24 00:00:00,2020-08-28 00:33:40.371020
BWFG,"Bankwell Financial Group, Inc.",Dale Eric J,,Buy,233.0,15.82,3686.0,2020-08-24 00:00:00,2020-08-28 00:33:40.371075
BWFG,"Bankwell Financial Group, Inc.",Drexler Blake S,,Buy,198.0,15.7,3108.0,2020-08-24 00:00:00,2020-08-28 00:33:40.371122
BWFG,"Bankwell Financial Group, Inc.",Jones Daniel S,,Buy,229.0,15.81,3620.0,2020-08-24 00:00:00,2020-08-28 00:33:40.371170
BWFG,"Bankwell Financial Group, Inc.",Porto Carl M,,Buy,119.0,15.81,1881.0,2020-08-24 00:00:00,2020-08-28 00:33:40.371215
BWFG,"Bankwell Financial Group, Inc.",Garnett James M Jr,,Buy,83.0,15.58,1293.0,2020-08-24 00:00:00,2020-08-28 00:33:40.371260
CALB,California Bancorp,Cortese Stephen A.  ,Director,Buy,388.0,13.29,5156.0,2020-08-24 00:00:00,2020-08-28 00:33:40.371310
CATY,Cathay General Bancorp,Sun Richard  ,Director,Buy,9300.0,25.0,232500.0,2020-08-24 00:00:00,2020-08-28 00:33:40.371366
CCNE,Cnb Financial Corp/pa,Bower Joseph B Jr  ,President and CEO,Buy,4360.0,25.0,109000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371422
CCNE,Cnb Financial Corp/pa,Smith Peter F  ,Director,Buy,12000.0,25.0,300000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371468
CCNE,Cnb Financial Corp/pa,Greslick Richard Lee Jr.  ,"Secretary, Senior EVP",Buy,2000.0,25.0,50000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371514
CCNE,Cnb Financial Corp/pa,Seager Richard B.  ,Director,Buy,3000.0,25.0,75000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371559
CCNE,Cnb Financial Corp/pa,Peterson Joel E.  ,Director,Buy,1000.0,25.0,25000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371606
CCNE,Cnb Financial Corp/pa,Scott Nicholas N. Jr.  ,Director,Buy,2000.0,25.0,50000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371651
CCNE,Cnb Financial Corp/pa,Kassab Leanne D  ,EVP/Customer Experience,Buy,1000.0,25.0,25000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371696
CCNE,Cnb Financial Corp/pa,Varischetti Peter C  ,Director,Buy,3000.0,25.0,75000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371742
CCNE,Cnb Financial Corp/pa,Straub Francis X Iii  ,Director,Buy,8000.0,25.0,200000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371789
CCNE,Cnb Financial Corp/pa,Shilling Steven R Shaffner  ,EVP/Wealth & Assset Management,Buy,400.0,25.0,10000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.371838
